activity_date,course_item_type_category,course_item_type_desc,count
2016-11-17 03:00:00,supplement,supplement,870
2016-11-17 03:00:00,,others,150
2016-11-17 03:00:00,notebook,notebook,13716
2016-11-17 03:00:00,programming,graded programming,9920
2016-11-17 03:00:00,lecture,lecture,15999
2016-11-18 03:00:00,lecture,lecture,14622
2016-11-18 03:00:00,quiz,exam,644
2016-11-18 03:00:00,notebook,notebook,13780
2016-11-18 03:00:00,supplement,supplement,708
2016-11-18 03:00:00,programming,graded programming,9700
2016-11-18 03:00:00,,others,135
2016-11-19 03:00:00,notebook,notebook,12696
2016-11-19 03:00:00,,others,82
2016-11-19 03:00:00,programming,graded programming,11376
2016-11-19 03:00:00,supplement,supplement,755
2016-11-19 03:00:00,lecture,lecture,11561
2016-11-19 03:00:00,quiz,exam,324
2016-11-20 03:00:00,notebook,notebook,13944
2016-11-20 03:00:00,lecture,lecture,14176
2016-11-20 03:00:00,supplement,supplement,749
2016-11-20 03:00:00,quiz,exam,836
2016-11-20 03:00:00,programming,graded programming,17236
2016-11-20 03:00:00,,others,131
2016-11-21 03:00:00,supplement,supplement,1041
2016-11-21 03:00:00,notebook,notebook,12460
2016-11-21 03:00:00,,others,103
2016-11-21 03:00:00,quiz,exam,592
2016-11-21 03:00:00,lecture,lecture,15246
2016-11-21 03:00:00,programming,graded programming,11968
2016-11-22 03:00:00,notebook,notebook,9796
2016-11-22 03:00:00,lecture,lecture,12407
2016-11-22 03:00:00,supplement,supplement,864
2016-11-22 03:00:00,quiz,exam,1004
2016-11-22 03:00:00,programming,graded programming,7528
2016-11-22 03:00:00,,others,59
2016-11-23 03:00:00,quiz,exam,656
2016-11-23 03:00:00,supplement,supplement,644
2016-11-23 03:00:00,lecture,lecture,9916
2016-11-23 03:00:00,programming,graded programming,7336
2016-11-23 03:00:00,notebook,notebook,8504
2016-11-23 03:00:00,,others,42
2016-11-24 03:00:00,,others,35
2016-11-24 03:00:00,lecture,lecture,9008
2016-11-24 03:00:00,quiz,exam,636
2016-11-24 03:00:00,supplement,supplement,982
2016-11-24 03:00:00,programming,graded programming,4860
2016-11-24 03:00:00,notebook,notebook,6952
2016-11-25 03:00:00,,others,14
2016-11-25 03:00:00,supplement,supplement,461
2016-11-25 03:00:00,lecture,lecture,8022
2016-11-25 03:00:00,programming,graded programming,4256
2016-11-25 03:00:00,notebook,notebook,6428
2016-11-25 03:00:00,quiz,exam,336
2016-11-26 03:00:00,supplement,supplement,519
2016-11-26 03:00:00,quiz,exam,588
2016-11-26 03:00:00,notebook,notebook,7132
2016-11-26 03:00:00,lecture,lecture,8253
2016-11-26 03:00:00,programming,graded programming,5760
2016-11-26 03:00:00,,others,31
2016-11-27 03:00:00,notebook,notebook,7196
2016-11-27 03:00:00,lecture,lecture,9253
2016-11-27 03:00:00,quiz,exam,416
2016-11-27 03:00:00,,others,35
2016-11-27 03:00:00,supplement,supplement,566
2016-11-27 03:00:00,programming,graded programming,5632
2016-11-28 03:00:00,supplement,supplement,488
2016-11-28 03:00:00,,others,26
2016-11-28 03:00:00,notebook,notebook,4188
2016-11-28 03:00:00,lecture,lecture,7603
2016-11-28 03:00:00,quiz,exam,468
2016-11-28 03:00:00,programming,graded programming,2916
2016-11-29 03:00:00,quiz,exam,252
2016-11-29 03:00:00,notebook,notebook,2980
2016-11-29 03:00:00,,others,18
2016-11-29 03:00:00,lecture,lecture,7469
2016-11-29 03:00:00,supplement,supplement,396
2016-11-29 03:00:00,programming,graded programming,1824
2016-11-30 03:00:00,,others,13
2016-11-30 03:00:00,programming,graded programming,1548
2016-11-30 03:00:00,supplement,supplement,392
2016-11-30 03:00:00,lecture,lecture,6253
2016-11-30 03:00:00,notebook,notebook,2832
2016-11-30 03:00:00,quiz,exam,360
2016-12-01 03:00:00,notebook,notebook,2648
2016-12-01 03:00:00,quiz,exam,284
2016-12-01 03:00:00,lecture,lecture,5167
2016-12-01 03:00:00,,others,10
2016-12-01 03:00:00,supplement,supplement,352
2016-12-01 03:00:00,programming,graded programming,1752
2016-12-02 03:00:00,lecture,lecture,4718
2016-12-02 03:00:00,notebook,notebook,2500
2016-12-02 03:00:00,programming,graded programming,1512
2016-12-02 03:00:00,supplement,supplement,425
2016-12-02 03:00:00,quiz,exam,224
2016-12-02 03:00:00,,others,11
2016-12-03 03:00:00,supplement,supplement,390
2016-12-03 03:00:00,programming,graded programming,1316
2016-12-03 03:00:00,quiz,exam,104
2016-12-03 03:00:00,,others,10
2016-12-03 03:00:00,notebook,notebook,2212
2016-12-03 03:00:00,lecture,lecture,4275
2016-12-04 03:00:00,notebook,notebook,2716
2016-12-04 03:00:00,quiz,exam,228
2016-12-04 03:00:00,supplement,supplement,446
2016-12-04 03:00:00,lecture,lecture,5543
2016-12-04 03:00:00,programming,graded programming,1880
2016-12-04 03:00:00,,others,12
2016-12-05 03:00:00,notebook,notebook,3244
2016-12-05 03:00:00,lecture,lecture,6874
2016-12-05 03:00:00,supplement,supplement,619
2016-12-05 03:00:00,quiz,exam,368
2016-12-05 03:00:00,programming,graded programming,1940
2016-12-05 03:00:00,,others,9
2016-12-06 03:00:00,,others,27
2016-12-06 03:00:00,supplement,supplement,553
2016-12-06 03:00:00,programming,graded programming,1448
2016-12-06 03:00:00,quiz,exam,348
2016-12-06 03:00:00,notebook,notebook,2704
2016-12-06 03:00:00,lecture,lecture,7302
2016-12-07 03:00:00,notebook,notebook,2780
2016-12-07 03:00:00,lecture,lecture,6760
2016-12-07 03:00:00,quiz,exam,324
2016-12-07 03:00:00,,others,41
2016-12-07 03:00:00,supplement,supplement,460
2016-12-07 03:00:00,programming,graded programming,1424
2016-12-08 03:00:00,,others,23
2016-12-08 03:00:00,lecture,lecture,7073
2016-12-08 03:00:00,programming,graded programming,1748
2016-12-08 03:00:00,notebook,notebook,3400
2016-12-08 03:00:00,supplement,supplement,556
2016-12-08 03:00:00,quiz,exam,576
2016-12-09 03:00:00,supplement,supplement,536
2016-12-09 03:00:00,lecture,lecture,5991
2016-12-09 03:00:00,programming,graded programming,1412
2016-12-09 03:00:00,notebook,notebook,2592
2016-12-09 03:00:00,,others,7
2016-12-09 03:00:00,quiz,exam,488
2016-12-10 03:00:00,lecture,lecture,5191
2016-12-10 03:00:00,notebook,notebook,2256
2016-12-10 03:00:00,quiz,exam,344
2016-12-10 03:00:00,supplement,supplement,348
2016-12-10 03:00:00,programming,graded programming,1376
2016-12-10 03:00:00,,others,3
2016-12-11 03:00:00,lecture,lecture,4852
2016-12-11 03:00:00,supplement,supplement,327
2016-12-11 03:00:00,quiz,exam,440
2016-12-11 03:00:00,notebook,notebook,3036
2016-12-11 03:00:00,programming,graded programming,1936
2016-12-11 03:00:00,,others,6
2016-12-12 03:00:00,notebook,notebook,2664
2016-12-12 03:00:00,supplement,supplement,387
2016-12-12 03:00:00,lecture,lecture,6261
2016-12-12 03:00:00,programming,graded programming,1324
2016-12-12 03:00:00,quiz,exam,484
