Date,Open,High,Low,Close,AdjClose,Volume
3/4/08,224.017975,225.215195,216.481995,220.863495,220.863495,27420500
3/5/08,221.186401,225.617569,220.56543,222.403473,222.403473,14969800
3/6/08,222.398514,225.185379,214.196854,214.95195,214.95195,15037300
3/7/08,213.054291,218.578354,211.742813,215.274841,215.274841,16248500
3/10/08,213.029449,214.107437,205.185471,205.473587,205.473587,16079000
3/11/08,211.255981,218.652878,210.952957,218.498871,218.498871,17768500
3/12/08,218.583328,222.492905,217.619598,218.66777,218.66777,13390300
3/13/08,214.937042,222.045807,213.004608,220.073639,220.073639,15553600
3/14/08,220.058731,223.218185,213.918671,217.545074,217.545074,13234200
3/17/08,212.612167,215.453674,204.723465,208.5784,208.5784,15878900
3/18/08,213.103958,218.995651,211.390106,218.161072,218.161072,14568400
3/19/08,219.129776,222.304123,214.440277,214.604202,214.604202,12438300
3/20/08,212.279327,216.442245,207.401062,215.374191,215.374191,19955600
3/24/08,217.798431,231.385056,217.445724,228.791931,228.791931,13614900
3/25/08,227.251938,227.256912,221.558975,223.933533,223.933533,11738900
3/26/08,224.832687,229.939468,223.193344,227.614594,227.614594,10519300
3/27/08,221.558975,222.855545,218.821777,220.605179,220.605179,11740100
3/28/08,222.284256,225.319519,215.75174,217.624557,217.624557,8809200
3/31/08,216.412445,219.914673,214.609177,218.811844,218.811844,8950500
4/1/08,222.423355,231.742737,221.991165,231.350296,231.350296,12265300
4/2/08,233.431747,236.332886,228.707474,231.345322,231.345322,12075900
4/3/08,229.373154,230.148102,222.617096,226.089508,226.089508,13644900
4/4/08,227.028397,237.371124,226.626022,234.022903,234.022903,11871000
4/7/08,236.973709,241.151535,235.235016,236.8694,236.8694,11964200
4/8/08,234.991608,235.538055,229.512238,232.393509,232.393509,9153000
4/9/08,233.04924,234.47496,227.291687,230.5952,230.5952,12174700
4/10/08,230.977707,235.398956,229.432755,233.024399,233.024399,10210700
4/11/08,230.535583,232.120285,226.034866,227.246979,227.246979,8393600
4/14/08,227.102921,227.246979,223.62056,224.370682,224.370682,7735100
4/15/08,227.584778,228.374649,220.426346,221.976257,221.976257,9214600
4/16/08,220.764145,227.659302,219.075134,226.0448,226.0448,15360600
4/17/08,226.342865,228.200775,221.817291,223.317535,223.317535,26879600
