State,time,population
MICHIGAN,1/21/1973,58
MICHIGAN,1/28/1973,75
MICHIGAN,2/4/1973,77
MICHIGAN,2/11/1973,62
MICHIGAN,2/18/1973,49
MICHIGAN,2/25/1973,82
MICHIGAN,3/4/1973,61
MICHIGAN,3/11/1973,68
MICHIGAN,3/18/1973,79
MICHIGAN,3/25/1973,51
MICHIGAN,4/1/1973,49
MICHIGAN,4/8/1973,92
MICHIGAN,4/15/1973,71
MICHIGAN,4/22/1973,59
MICHIGAN,4/29/1973,69
MICHIGAN,5/6/1973,45
MICHIGAN,5/13/1973,83
MICHIGAN,5/20/1973,86
MICHIGAN,5/27/1973,43
MICHIGAN,6/3/1973,72
MICHIGAN,6/10/1973,44
MICHIGAN,6/17/1973,59
MICHIGAN,6/24/1973,48
MICHIGAN,7/1/1973,35
MICHIGAN,7/8/1973,61
MICHIGAN,7/15/1973,53
MICHIGAN,7/22/1973,72
MICHIGAN,7/29/1973,63
MICHIGAN,8/5/1973,79
MICHIGAN,8/12/1973,59
MICHIGAN,8/19/1973,51
MICHIGAN,8/26/1973,94
MICHIGAN,9/2/1973,60
MICHIGAN,9/9/1973,64
MICHIGAN,9/16/1973,87
MICHIGAN,9/23/1973,46
MICHIGAN,9/30/1973,90
MICHIGAN,10/7/1973,65
MICHIGAN,10/14/1973,83
MICHIGAN,10/21/1973,62
MICHIGAN,10/28/1973,45
MICHIGAN,11/4/1973,54
MICHIGAN,11/11/1973,79
MICHIGAN,11/18/1973,71
MICHIGAN,11/25/1973,65
MICHIGAN,12/2/1973,70
MICHIGAN,12/9/1973,44
MICHIGAN,12/16/1973,81
MICHIGAN,12/23/1973,73
MICHIGAN,12/30/1973,37
MICHIGAN,1/6/1974,80
MICHIGAN,1/13/1974,63
MICHIGAN,1/20/1974,59
MICHIGAN,1/27/1974,72
MICHIGAN,2/3/1974,62
MICHIGAN,2/10/1974,43
MICHIGAN,2/17/1974,54
MICHIGAN,2/24/1974,90
MICHIGAN,3/3/1974,72
MICHIGAN,3/10/1974,76
MICHIGAN,3/17/1974,62
MICHIGAN,3/24/1974,60
MICHIGAN,3/31/1974,42
MICHIGAN,4/7/1974,66
MICHIGAN,4/14/1974,53
MICHIGAN,4/21/1974,65
MICHIGAN,4/28/1974,45
MICHIGAN,5/5/1974,55
MICHIGAN,5/12/1974,52
MICHIGAN,5/19/1974,54
MICHIGAN,5/26/1974,45
MICHIGAN,6/2/1974,42
MICHIGAN,6/9/1974,53
MICHIGAN,6/16/1974,39
MICHIGAN,6/23/1974,70
MICHIGAN,6/30/1974,45
MICHIGAN,7/7/1974,27
MICHIGAN,7/14/1974,69
MICHIGAN,7/21/1974,54
MICHIGAN,7/28/1974,52
MICHIGAN,8/4/1974,52
MICHIGAN,8/11/1974,48
MICHIGAN,8/18/1974,52
MICHIGAN,8/25/1974,40
MICHIGAN,9/1/1974,66
MICHIGAN,9/22/1974,52
MICHIGAN,9/29/1974,45
MICHIGAN,10/6/1974,52
MICHIGAN,10/13/1974,38
MICHIGAN,10/20/1974,79
MICHIGAN,10/27/1974,50
MICHIGAN,11/10/1974,46
